table,seq,column,is_pk,is_fk,type,width,description,id
sdcommunities,1,ogc_fid,1,,INTEGER,,,c00P01001
sdcommunities,2,objectid_1,,,INTEGER64,10,,c00P01002
sdcommunities,3,objectid,,,INTEGER64,9,,c00P01003
sdcommunities,4,cpcode,,,INTEGER64,9,,c00P01004
sdcommunities,5,cpname,,,TEXT,35,,c00P01005
sdcommunities,6,acreage,,,NUMERIC,19,,c00P01006
sdcommunities,7,shape_leng,,,NUMERIC,19,,c00P01007
sdcommunities,8,shape_area,,,NUMERIC,19,,c00P01008
sdcommunities,9,shape_len,,,NUMERIC,19,,c00P01009
,,,,,,,,
sdneighborhoods,1,ogc_fid,1,,INTEGER,,,c00P02001
sdneighborhoods,2,objectid,,,INTEGER64,10,,c00P02002
sdneighborhoods,3,name,,,TEXT,60,,c00P02003
sdneighborhoods,4,shape_area,,,NUMERIC,19,,c00P02004
sdneighborhoods,5,shape_len,,,NUMERIC,19,,c00P02005
